year,ram_usd_per_mb,ram_usd_per_gb,ram_index_R,ram_commodity_usd_per_gb,ram_hbm_usd_per_gb,ram_commodity_R,ram_ai_R,hbm_weight,lipstick_prestige_b_usd,lipstick_index_2001_100,hemline_score_0_10,mui_b_usd,mui_yoy_pct,box_office_b_usd,cpi_yoy,real_gdp_yoy,unemp_u3,sp500_close,sp500_return,nber_recession,ram_usd_per_mb_qa,ram_index_R_qa,ram_qa_n_obs,ram_provenance,row_status
1980,6480.0,6635520.0,,,,,,0.0,,,5.0,,,1.64,13.5,-0.3,7.1,135.76,32.5,1,,,,"published blend (McCallum/hblok/TrendForce, rounded) — archive coverage insufficient",realised
1981,4479.0,4586496.0,-0.368,,,,,0.0,,,5.0,,,1.82,10.3,2.5,7.6,122.55,-4.9,1,,,,"published blend (McCallum/hblok/TrendForce, rounded) — archive coverage insufficient",realised
1982,2027.0,2075648.0,-0.794,,,,,0.0,,,5.5,,,2.75,6.2,-1.8,9.7,140.64,21.6,1,,,,"published blend (McCallum/hblok/TrendForce, rounded) — archive coverage insufficient",realised
1983,685.0,701440.0,-1.085,,,,,0.0,,,5.5,,,3.77,3.2,4.6,9.6,164.93,22.6,0,,,,"published blend (McCallum/hblok/TrendForce, rounded) — archive coverage insufficient",realised
1984,451.0,461824.0,-0.418,,,,,0.0,,,6.0,,,4.03,4.3,7.2,7.5,167.24,6.3,0,,,,"published blend (McCallum/hblok/TrendForce, rounded) — archive coverage insufficient",realised
1985,385.0,394240.0,-0.158,,,,,0.0,,,6.5,,,3.75,3.5,4.2,7.2,211.28,31.7,0,235.652924,,8,"hedonic quality-adjusted, McCallum archive",realised
1986,178.0,182272.0,-0.772,,,,,0.0,,,6.5,,,3.78,1.9,3.5,7.0,242.17,18.7,0,133.317686,-0.569625,11,"hedonic quality-adjusted, McCallum archive",realised
1987,133.0,136192.0,-0.291,,,,,0.0,,,7.0,,,4.25,3.7,3.5,6.2,247.08,5.3,0,96.815741,-0.319925,12,"hedonic quality-adjusted, McCallum archive",realised
1988,107.0,109568.0,-0.217,,,,,0.0,,,7.0,,,4.46,4.1,4.2,5.5,277.72,16.8,0,194.919209,0.699776,11,"hedonic quality-adjusted, McCallum archive",realised
1989,73.0,74752.0,-0.383,,,,,0.0,,,6.5,,,5.03,4.8,3.7,5.3,353.4,31.5,0,158.962727,-0.203915,11,"hedonic quality-adjusted, McCallum archive",realised
1990,47.0,48128.0,-0.441,,,,,0.0,,,6.0,,,5.02,5.4,1.9,5.6,330.22,-3.2,1,47.52742,-1.207363,10,"hedonic quality-adjusted, McCallum archive",realised
1991,42.0,43008.0,-0.113,,,,,0.0,,,5.5,,,4.8,4.2,-0.1,6.8,417.09,30.5,1,25.555354,-0.62046,12,"hedonic quality-adjusted, McCallum archive",realised
1992,39.0,39936.0,-0.074,,,,,0.0,,,5.5,,,4.87,3.0,3.5,7.5,435.71,7.7,0,19.452935,-0.272849,12,"hedonic quality-adjusted, McCallum archive",realised
1993,34.0,34816.0,-0.137,,,,,0.0,,,5.5,,,5.15,3.0,2.8,6.9,466.45,10.0,0,18.635954,-0.042905,12,"hedonic quality-adjusted, McCallum archive",realised
1994,32.0,32768.0,-0.061,,,,,0.0,,,5.5,,,5.4,2.6,4.0,6.1,459.27,1.3,0,21.897512,0.16128,12,"hedonic quality-adjusted, McCallum archive",realised
1995,30.0,30720.0,-0.064,,,,,0.0,,,5.5,,,5.29,2.8,2.7,5.6,615.93,37.6,0,22.104387,0.009403,12,"hedonic quality-adjusted, McCallum archive",realised
1996,6.9,7065.6,-1.47,,,,,0.0,,,5.5,,,5.82,3.0,3.8,5.4,740.74,23.0,0,9.376138,-0.857608,12,"hedonic quality-adjusted, McCallum archive",realised
1997,4.1,4198.4,-0.52,,,,,0.0,,,5.5,,,6.21,2.3,4.4,4.9,970.43,33.4,0,2.407828,-1.359443,12,"hedonic quality-adjusted, McCallum archive",realised
1998,1.38,1413.12,-1.089,,,,,0.0,,,5.5,,,6.79,1.6,4.5,4.5,1229.23,28.6,0,0.840839,-1.052081,11,"hedonic quality-adjusted, McCallum archive",realised
1999,1.13,1157.12,-0.2,,,,,0.0,,,5.5,,,7.3,2.2,4.8,4.2,1469.25,21.0,0,0.974638,0.147666,10,"hedonic quality-adjusted, McCallum archive",realised
